entry_time,exit_time,pnl_usd,position,n_bars,won,session,dow,hour
2024-01-20 03:00:00+00:00,2024-01-20 03:45:00+00:00,-2.6400146484375,1,4,False,Asia    (00-07),Saturday,3
2024-01-20 04:00:00+00:00,2024-01-20 04:15:00+00:00,-2.540048828125,-1,2,False,Asia    (00-07),Saturday,4
2024-01-20 04:30:00+00:00,2024-01-20 08:00:00+00:00,-4.365,1,15,False,Asia    (00-07),Saturday,4
2024-01-20 08:15:00+00:00,2024-01-20 17:15:00+00:00,5.4000146484375,-1,37,True,London  (07-12),Saturday,8
2024-01-20 17:30:00+00:00,2024-01-20 18:15:00+00:00,-4.3299658203125,1,4,False,NY      (16-22),Saturday,17
2024-01-20 18:30:00+00:00,2024-01-20 19:30:00+00:00,-3.8700048828125,-1,5,False,NY      (16-22),Saturday,18
2024-01-20 19:45:00+00:00,2024-01-21 11:15:00+00:00,6.36498046875,1,63,True,NY      (16-22),Saturday,19
2024-01-21 11:30:00+00:00,2024-01-21 16:15:00+00:00,3.1050927734375,-1,20,True,London  (07-12),Sunday,11
2024-01-21 16:30:00+00:00,2024-01-21 18:15:00+00:00,2.5650537109375,1,8,True,NY      (16-22),Sunday,16
2024-01-21 18:30:00+00:00,2024-01-21 19:00:00+00:00,0.030019531249999787,-1,3,True,NY      (16-22),Sunday,18
2024-01-21 19:15:00+00:00,2024-01-21 20:00:00+00:00,-1.5649511718750002,1,4,False,NY      (16-22),Sunday,19
2024-01-21 20:15:00+00:00,2024-01-22 05:15:00+00:00,23.160024414062498,-1,37,True,NY      (16-22),Sunday,20
2024-01-22 05:30:00+00:00,2024-01-22 06:45:00+00:00,1.0899560546874998,1,6,True,Asia    (00-07),Monday,5
2024-01-22 07:00:00+00:00,2024-01-22 07:30:00+00:00,0.5899560546874998,-1,3,True,London  (07-12),Monday,7
2024-01-22 07:45:00+00:00,2024-01-22 08:00:00+00:00,-7.30005859375,1,2,False,London  (07-12),Monday,7
2024-01-22 08:15:00+00:00,2024-01-22 12:00:00+00:00,18.399892578124998,-1,16,True,London  (07-12),Monday,8
2024-01-22 12:15:00+00:00,2024-01-22 13:45:00+00:00,5.1299951171875,1,7,True,Overlap (12-16),Monday,12
2024-01-22 14:00:00+00:00,2024-01-22 15:15:00+00:00,11.935048828125,-1,6,True,Overlap (12-16),Monday,14
2024-01-22 15:30:00+00:00,2024-01-22 17:00:00+00:00,4.709951171875,1,7,True,Overlap (12-16),Monday,15
2024-01-22 17:15:00+00:00,2024-01-22 22:30:00+00:00,28.849965820312498,-1,22,True,NY      (16-22),Monday,17
2024-01-22 22:45:00+00:00,2024-01-22 23:15:00+00:00,0.7000634765624998,1,3,True,Off     (22-00),Monday,22
2024-01-22 23:30:00+00:00,2024-01-22 23:45:00+00:00,-1.0399267578125002,-1,2,False,Off     (22-00),Monday,23
