symbol,from,to,pnl_usd,return_pct,sharpe,max_dd,win_rate,avg_lots,n_flips
GOLD,2019-07-15,2020-01-15,42380.23016089706,4.238023016089695,14.399874150604335,0.04236651425248901,0.5725,0.39579306941175046,530
SILVER,2019-07-15,2020-01-15,51288.255022503814,5.12882550225038,15.98924080768605,0.030607435546842563,0.599,0.3834116381928892,537
EURUSD,2019-07-15,2020-01-15,14254.313926011157,1.4254313926011157,12.119348725031609,0.05411619923909505,0.5685,0.4995923473293683,435
GBPUSD,2019-07-15,2020-01-15,30767.215288341344,3.076721528834134,15.928755990457768,0.027827700632628127,0.5955,0.48715091096408913,409
GOLD,2020-01-15,2020-07-15,45711.23866942678,4.571123866942676,16.10337540133424,0.030921514723997057,0.5945,0.22919254398048935,537
SILVER,2020-01-15,2020-07-15,47666.88966613382,4.766688966613382,15.427966140710188,0.02298834064898738,0.606,0.2627656553284283,553
EURUSD,2020-01-15,2020-07-15,34704.11303088765,3.470411303088763,15.848499162524176,0.024953833287091626,0.6205,0.4757659529858764,468
GBPUSD,2020-01-15,2020-07-15,39705.089326406,3.970508932640598,15.340007018837595,0.039546157311943275,0.588,0.43778874519017247,465
GOLD,2020-07-15,2021-01-15,50971.07244689029,5.097107244689025,16.94621677191468,0.06951533458423198,0.6125,0.24214680427977922,560
SILVER,2020-07-15,2021-01-15,51804.35259625001,5.180435259624998,17.008285881984225,0.0417242294430422,0.62,0.15243234474662257,548
EURUSD,2020-07-15,2021-01-15,23413.243509315398,2.341324350931539,16.642725746355964,0.02091332625344872,0.5915,0.4984453869265935,400
GBPUSD,2020-07-15,2021-01-15,36406.35424444752,3.640635424444751,16.6190435493477,0.04071003768951556,0.5895,0.4809338450862837,449
GOLD,2021-01-15,2021-07-15,39634.979165357145,3.9634979165357014,12.203586672613683,0.049441418402541876,0.583,0.3150131444935804,540
SILVER,2021-01-15,2021-07-15,41963.49375724764,4.196349375724759,13.613980327347326,0.048920257685055896,0.5845,0.21431900412778992,567
EURUSD,2021-01-15,2021-07-15,17592.501609802246,1.7592501609802247,12.023130064403697,0.04793247785044486,0.5645,0.5,442
GBPUSD,2021-01-15,2021-07-15,33196.434818120426,3.3196434818120433,16.559765673773395,0.029635959770612775,0.607,0.49547215025764574,420
GOLD,2021-07-15,2022-01-15,44550.94301190142,4.455094301190136,14.479321072557077,0.04649189907592427,0.5785,0.3524463323290429,556
SILVER,2021-07-15,2022-01-15,45943.3891593674,4.594338915936744,13.096355461342688,0.07466170104375708,0.5745,0.28877768765829437,527
EURUSD,2021-07-15,2022-01-15,17978.295438848378,1.7978295438848384,12.336470998587819,0.02110225974267633,0.57,0.4997925801561204,466
GBPUSD,2021-07-15,2022-01-15,32881.07270494421,3.2881072704944194,17.30829932054789,0.01457486550555005,0.6065,0.4992428378335687,458
GOLD,2022-01-15,2022-07-15,48739.912140176355,4.873991214017644,15.414033489062174,0.045534848680236814,0.609,0.2579179647004273,572
SILVER,2022-01-15,2022-07-15,52522.73730952297,5.252273730952297,15.909899996663748,0.0314545050058592,0.6165,0.23107200354161148,452
EURUSD,2022-01-15,2022-07-15,28565.603042001094,2.856560304200111,14.466381685162977,0.0641997431549976,0.5885,0.4944033401906712,433
GBPUSD,2022-01-15,2022-07-15,38173.49020408335,3.8173490204083342,15.34417975511781,0.052255369611477843,0.6045,0.48809905532945214,439
GOLD,2022-07-15,2023-01-15,50276.39671885676,5.027639671885686,16.119372722663638,0.033386934248159056,0.6045,0.31659723037799853,573
SILVER,2022-07-15,2023-01-15,50765.311540049064,5.076531154004904,15.096950890204885,0.0430871002412109,0.5995,0.24270178179609184,473
EURUSD,2022-07-15,2023-01-15,36770.31060779064,3.6770310607790635,14.58231043065711,0.04086160283173769,0.576,0.4852552825219484,451
GBPUSD,2022-07-15,2023-01-15,49906.406474218275,4.990640647421832,18.257529019825686,0.02028385444783738,0.601,0.4204211151584985,407
GOLD,2023-01-15,2023-07-15,49167.43869804227,4.916743869804218,15.606638641674781,0.04682000629771715,0.5895,0.301514799492224,544
SILVER,2023-01-15,2023-07-15,56457.10196010504,5.645710196010509,15.949407837685307,0.03454344461333221,0.599,0.2679195221118067,530
EURUSD,2023-01-15,2023-07-15,23759.845534406468,2.375984553440647,15.555836834993208,0.022904546255073634,0.578,0.4992589043108974,419
GBPUSD,2023-01-15,2023-07-15,34228.55862020863,3.422855862020862,15.022502621487494,0.02427222568109667,0.596,0.4938376672087853,443
