entry_time,exit_time,pnl_usd,position,n_bars,won,session,dow,hour
2022-02-10 03:00:00+00:00,2022-02-10 03:00:00+00:00,-7.504602432250977,-1,1,False,Asia    (00-07),Thursday,3
2022-02-10 03:15:00+00:00,2022-02-10 06:00:00+00:00,57.99494171142578,1,12,True,Asia    (00-07),Thursday,3
2022-02-10 06:15:00+00:00,2022-02-10 07:15:00+00:00,17.49954605102539,-1,5,True,Asia    (00-07),Thursday,6
2022-02-10 07:30:00+00:00,2022-02-10 12:15:00+00:00,43.00437355041504,1,20,True,London  (07-12),Thursday,7
2022-02-10 12:30:00+00:00,2022-02-10 14:00:00+00:00,16.504148483276367,-1,7,True,Overlap (12-16),Thursday,12
2022-02-10 14:15:00+00:00,2022-02-10 14:30:00+00:00,24.50309181213379,1,2,True,Overlap (12-16),Thursday,14
2022-02-10 14:45:00+00:00,2022-02-10 16:00:00+00:00,255.00021362304688,-1,6,True,Overlap (12-16),Thursday,14
2022-02-10 16:15:00+00:00,2022-02-10 16:45:00+00:00,105.49984359741211,1,3,True,NY      (16-22),Thursday,16
2022-02-10 17:00:00+00:00,2022-02-10 17:00:00+00:00,-181.99720001220703,-1,1,False,NY      (16-22),Thursday,17
2022-02-10 17:15:00+00:00,2022-02-10 19:00:00+00:00,197.49961280822754,1,8,True,NY      (16-22),Thursday,17
2022-02-10 19:15:00+00:00,2022-02-11 04:30:00+00:00,394.9996032714844,-1,38,True,NY      (16-22),Thursday,19
2022-02-11 04:45:00+00:00,2022-02-11 04:45:00+00:00,-5.00120735168457,1,1,False,Asia    (00-07),Friday,4
2022-02-11 05:00:00+00:00,2022-02-11 07:00:00+00:00,89.99667549133301,-1,9,True,Asia    (00-07),Friday,5
2022-02-11 07:15:00+00:00,2022-02-11 08:00:00+00:00,-10.002037048339844,1,4,False,London  (07-12),Friday,7
2022-02-11 08:15:00+00:00,2022-02-11 09:00:00+00:00,11.497358322143555,-1,4,True,London  (07-12),Friday,8
2022-02-11 09:15:00+00:00,2022-02-11 10:00:00+00:00,49.000600814819336,1,4,True,London  (07-12),Friday,9
2022-02-11 10:15:00+00:00,2022-02-11 13:30:00+00:00,-25.999923706054688,-1,14,False,London  (07-12),Friday,10
2022-02-11 13:45:00+00:00,2022-02-11 15:00:00+00:00,102.9964485168457,1,6,True,Overlap (12-16),Friday,13
2022-02-11 15:15:00+00:00,2022-02-11 16:00:00+00:00,103.49712753295898,-1,4,True,Overlap (12-16),Friday,15
2022-02-11 16:15:00+00:00,2022-02-11 19:00:00+00:00,53.50075149536133,1,12,True,NY      (16-22),Friday,16
2022-02-11 19:15:00+00:00,2022-02-11 20:15:00+00:00,58.00090217590332,-1,5,True,NY      (16-22),Friday,19
2022-02-11 20:30:00+00:00,2022-02-11 20:30:00+00:00,-199.50308418273926,1,1,False,NY      (16-22),Friday,20
2022-02-11 20:45:00+00:00,2022-02-11 22:15:00+00:00,70.49999618530273,-1,7,True,NY      (16-22),Friday,20
2022-02-11 22:30:00+00:00,2022-02-11 22:30:00+00:00,33.00271415710449,1,1,True,Off     (22-00),Friday,22
2022-02-11 22:45:00+00:00,2022-02-11 23:00:00+00:00,16.498188018798828,-1,2,True,Off     (22-00),Friday,22
2022-02-11 23:15:00+00:00,2022-02-11 23:15:00+00:00,25.999168395996094,1,1,True,Off     (22-00),Friday,23
2022-02-11 23:30:00+00:00,2022-02-11 23:30:00+00:00,3.999094009399414,-1,1,True,Off     (22-00),Friday,23
2022-02-11 23:45:00+00:00,2022-02-14 01:45:00+00:00,79.99501609802246,1,9,True,Off     (22-00),Friday,23
2022-02-14 02:00:00+00:00,2022-02-14 03:30:00+00:00,48.9946403503418,-1,7,True,Asia    (00-07),Monday,2
2022-02-14 03:45:00+00:00,2022-02-14 08:00:00+00:00,-35.50090408325195,1,18,False,Asia    (00-07),Monday,3
2022-02-14 08:15:00+00:00,2022-02-14 12:45:00+00:00,161.99908638000488,-1,19,True,London  (07-12),Monday,8
2022-02-14 13:00:00+00:00,2022-02-14 14:30:00+00:00,106.49524116516113,1,7,True,Overlap (12-16),Monday,13
2022-02-14 14:45:00+00:00,2022-02-14 19:00:00+00:00,170.4987087249756,-1,18,True,Overlap (12-16),Monday,14
2022-02-14 19:15:00+00:00,2022-02-14 19:45:00+00:00,39.49962043762207,1,3,True,NY      (16-22),Monday,19
