timestamp,price,atr,position,action,lots,pnl_usd,balance_usd,drawdown_pct,flipped
2024-01-29 13:00:00+00:00,16882.890625,24.143571853637695,1,0,0.5,-2.2880859375,9997.7119140625,0.00022880859375,False
2024-01-29 14:00:00+00:00,16864.859375,24.75428581237793,-1,1,0.5,8.6521875,10006.3641015625,0.0,True
2024-01-29 15:00:00+00:00,16878.3203125,22.390714645385742,1,1,0.5,6.138515625000001,10012.5026171875,0.0,True
2024-01-29 16:00:00+00:00,16921.259765625,24.632856369018555,1,0,0.5,23.616699218750004,10036.11931640625,0.0,False
2024-01-29 17:00:00+00:00,16919.76953125,24.85785675048828,1,0,0.5,-0.8196289062500001,10035.299687499999,8.166791171074096e-05,False
2024-01-29 18:00:00+00:00,16939.669921875,25.608572006225586,1,0,0.5,10.945214843750001,10046.24490234375,0.0,False
2024-01-29 19:00:00+00:00,16934.7890625,25.538572311401367,1,0,0.5,-2.68447265625,10043.560429687499,0.0002672115484288151,False
2024-01-29 20:00:00+00:00,16929.91015625,25.655000686645508,1,0,0.5,-2.6833984375,10040.877031249998,0.0005343161694673388,False
2024-01-29 21:00:00+00:00,16947.400390625,26.26285743713379,-1,1,0.5,-10.88462890625,10029.992402343749,0.0016177686447011524,True
2024-01-29 22:00:00+00:00,16993.7109375,29.28071403503418,1,1,0.5,24.20580078125,10054.198203124999,0.0,True
2024-01-29 23:00:00+00:00,16975.51953125,29.6728572845459,-1,1,0.5,8.7402734375,10062.938476562498,0.0,True
2024-01-30 01:00:00+00:00,16987.779296875,27.44285774230957,1,1,0.5,5.477871093750001,10068.416347656248,0.0,True
2024-01-30 02:00:00+00:00,16994.470703125,26.332857131958008,1,0,0.5,3.6802734375000004,10072.096621093748,0.0,False
2024-01-30 03:00:00+00:00,16994.560546875,25.219999313354492,1,0,0.5,0.0494140625,10072.146035156247,0.0,False
2024-01-30 04:00:00+00:00,16998.130859375,24.709285736083984,1,0,0.5,1.9636718750000002,10074.109707031248,0.0,False
2024-01-30 05:00:00+00:00,16987.7890625,23.494285583496094,1,0,0.5,-5.687988281250001,10068.421718749998,0.0005646144867054659,False
2024-01-30 06:00:00+00:00,16992.849609375,23.040714263916016,1,0,0.5,2.7833007812500004,10071.205019531248,0.0002883319305102495,False
2024-01-30 07:00:00+00:00,16999.400390625,19.81142807006836,1,0,0.5,3.6029296875,10074.807949218748,0.0,False
2024-01-30 08:00:00+00:00,16983.08984375,19.82428550720215,1,0,0.5,-8.97080078125,10065.837148437498,0.0008904190359226925,False
2024-01-30 09:00:00+00:00,17005.140625,20.11142921447754,-1,1,0.5,-13.392929687500002,10052.444218749999,0.002219767422016541,True
2024-01-30 10:00:00+00:00,16965.1796875,23.60714340209961,-1,0,0.5,21.978515625,10074.422734374999,3.8235452793809895e-05,False
2024-01-30 11:00:00+00:00,16964.3203125,25.0242862701416,-1,0,0.5,0.47265625000000006,10074.895390624999,0.0,False
2024-01-30 12:00:00+00:00,16969.30078125,25.527856826782227,-1,0,0.5,-2.7392578125,10072.156132812499,0.0002718894545593956,False
2024-01-30 13:00:00+00:00,16979.9609375,23.209999084472656,1,1,0.5,4.5980859375000005,10076.754218749998,0.0,True
2024-01-30 14:00:00+00:00,16962.439453125,23.868572235107422,1,0,0.5,-9.63681640625,10067.117402343749,0.0009563413175562264,False
2024-01-30 15:00:00+00:00,16979.859375,25.35714340209961,1,0,0.5,9.580957031250001,10076.698359375,5.543389645778386e-06,False
2024-01-30 16:00:00+00:00,16972.859375,25.806428909301758,1,0,0.5,-3.8500000000000005,10072.848359374999,0.0003876108606213629,False
2024-01-30 17:00:00+00:00,16954.7109375,26.829999923706055,-1,1,0.5,8.716640625,10081.564999999999,0.0,True
2024-01-30 18:00:00+00:00,16978.720703125,27.972856521606445,-1,0,0.5,-13.205371093750001,10068.359628906248,0.0013098532910069745,False
2024-01-30 19:00:00+00:00,16957.5,28.85714340209961,-1,0,0.5,11.671386718750002,10080.031015624998,0.00015215736594474446,False
2024-01-30 20:00:00+00:00,16964.55078125,29.319286346435547,1,1,0.5,2.6129296875000003,10082.643945312499,0.0,True
2024-01-30 21:00:00+00:00,16976.080078125,29.427143096923828,-1,1,0.5,-7.60611328125,10075.037832031248,0.000754376860127674,True
2024-01-30 22:00:00+00:00,16968.220703125,28.790000915527344,-1,0,0.5,4.3226562500000005,10079.360488281249,0.0003256543669556324,False
2024-01-30 23:00:00+00:00,16919.029296875,30.555713653564453,-1,0,0.5,27.055273437500002,10106.415761718748,0.0,False
2024-01-31 01:00:00+00:00,16911.4296875,27.545713424682617,1,1,0.5,-5.44478515625,10100.970976562498,0.0005387454152514407,True
2024-01-31 02:00:00+00:00,16941.630859375,28.52642822265625,1,0,0.5,16.610644531250003,10117.581621093748,0.0,False
2024-01-31 03:00:00+00:00,16936.75,27.52214241027832,1,0,0.5,-2.68447265625,10114.897148437498,0.0002653275018462527,False
2024-01-31 04:00:00+00:00,16947.279296875,26.860713958740234,1,0,0.5,5.79111328125,10120.688261718748,0.0,False
2024-01-31 05:00:00+00:00,16959.80078125,25.45857048034668,1,0,0.5,6.88681640625,10127.575078124997,0.0,False
2024-01-31 06:00:00+00:00,16968.349609375,23.684999465942383,1,0,0.5,4.701855468750001,10132.276933593746,0.0,False
2024-01-31 07:00:00+00:00,16968.439453125,22.222856521606445,1,0,0.5,0.0494140625,10132.326347656246,0.0,False
2024-01-31 08:00:00+00:00,16943.669921875,22.505714416503906,1,0,0.5,-13.6232421875,10118.703105468747,0.0013445325111000324,False
2024-01-31 09:00:00+00:00,16970.08984375,24.417142868041992,1,0,0.5,14.53095703125,10133.234062499996,0.0,False
2024-01-31 10:00:00+00:00,16984.5390625,25.4757137298584,-1,1,0.5,-9.212070312500002,10124.021992187496,0.0009090947920162235,True
2024-01-31 11:00:00+00:00,16944.359375,27.662857055664062,-1,0,0.5,22.098828125,10146.120820312495,0.0,False
2024-01-31 12:00:00+00:00,16945.830078125,28.677143096923828,-1,0,0.5,-0.8088867187500001,10145.311933593744,7.972374201688387e-05,False
2024-01-31 13:00:00+00:00,16966.240234375,30.377857208251953,1,1,0.5,9.960585937500001,10155.272519531245,0.0,True
2024-01-31 14:00:00+00:00,16968.25,28.196428298950195,-1,1,0.5,-2.37037109375,10152.902148437495,0.00023341284925549149,True
2024-01-31 15:00:00+00:00,16955.05078125,28.975000381469727,-1,0,0.5,7.2595703125,10160.161718749996,0.0,False
2024-01-31 16:00:00+00:00,16934.919921875,28.24071502685547,-1,0,0.5,11.07197265625,10171.233691406245,0.0,False
2024-01-31 17:00:00+00:00,16890.890625,31.097856521606445,1,1,0.5,-25.481113281250003,10145.752578124995,0.0025052136303562998,True
2024-01-31 18:00:00+00:00,16903.630859375,32.39214324951172,-1,1,0.5,-8.27212890625,10137.480449218745,0.0033185003128989817,True
2024-01-31 19:00:00+00:00,16887.3203125,36.645713806152344,-1,0,0.5,8.97080078125,10146.451249999995,0.0024365226636361265,False
