timestamp,regime,price,atr,position,action,lots,pnl_usd,balance_usd,drawdown_pct,flipped
2024-01-20 03:00:00+00:00,N/A,41592.4609375,87.0278549194336,-1,1,0.5,-0.49523437500000256,9999.504765625,4.9523437499919966e-05,True
2024-01-20 03:15:00+00:00,N/A,41570.0,88.74500274658203,-1,0,0.5,11.23046875,10010.735234375,0.0,False
2024-01-20 03:30:00+00:00,N/A,41555.609375,82.44285583496094,-1,0,0.5,7.1953125,10017.930546875,0.0,False
2024-01-20 03:45:00+00:00,N/A,41634.6484375,83.24714660644531,-1,0,0.5,-39.51953125,9978.411015625,0.003944879739890765,False
2024-01-20 04:00:00+00:00,N/A,41614.2109375,74.41213989257812,-1,0,0.5,10.21875,9988.629765625,0.0029248337381556416,False
2024-01-20 04:15:00+00:00,N/A,41623.12109375,73.25785827636719,-1,0,0.5,-4.455078125,9984.1746875,0.0033695441605481906,False
2024-01-20 04:30:00+00:00,N/A,41627.87890625,67.64286041259766,-1,0,0.5,-2.37890625,9981.79578125,0.003607008998108087,False
2024-01-20 04:45:00+00:00,N/A,41607.19921875,66.63999938964844,-1,0,0.5,10.33984375,9992.135625,0.0025748752952820665,False
2024-01-20 05:00:00+00:00,N/A,41587.01953125,65.06500244140625,-1,0,0.5,10.08984375,10002.22546875,0.0015676968463211249,False
2024-01-20 05:15:00+00:00,N/A,41633.921875,63.40357208251953,-1,0,0.5,-23.451171875,9978.774296875,0.003908616636618071,False
2024-01-20 05:30:00+00:00,N/A,41590.71875,58.89714431762695,-1,0,0.5,21.6015625,10000.375859375,0.0017523267323385488,False
2024-01-20 05:45:00+00:00,N/A,41627.62890625,58.264286041259766,1,1,0.5,3.5750781249999974,10003.950937500002,0.0013954588035509996,True
2024-01-20 06:00:00+00:00,N/A,41637.8515625,55.68571472167969,1,0,0.5,5.111328125,10009.062265625002,0.0008852408397626171,False
2024-01-20 06:15:00+00:00,N/A,41663.98828125,56.422855377197266,1,0,0.5,13.068359375,10022.130625000002,0.0,False
2024-01-20 06:30:00+00:00,N/A,41696.3203125,56.931427001953125,1,0,0.5,16.166015625,10038.296640625002,0.0,False
2024-01-20 06:45:00+00:00,N/A,41672.01953125,55.40214157104492,-1,1,0.5,-2.7296093750000026,10035.567031250002,0.0002719195768684964,True
2024-01-20 07:00:00+00:00,N/A,41691.08984375,55.59714126586914,-1,0,0.5,-9.53515625,10026.031875000002,0.0012217974885663045,False
2024-01-20 07:15:00+00:00,N/A,41695.19921875,51.68785858154297,-1,0,0.5,-2.0546875,10023.977187500002,0.0014264823642537471,False
2024-01-20 07:30:00+00:00,N/A,41730.83984375,54.1735725402832,-1,0,0.5,-17.8203125,10006.156875000002,0.0032017150693604253,False
2024-01-20 07:45:00+00:00,N/A,41650.94921875,54.5821418762207,-1,0,0.5,39.9453125,10046.102187500002,0.0,False
2024-01-20 08:00:00+00:00,N/A,41641.1015625,56.810001373291016,-1,0,0.5,4.923828125,10051.026015625002,0.0,False
2024-01-20 08:15:00+00:00,N/A,41585.96875,58.24214172363281,-1,0,0.5,27.56640625,10078.592421875002,0.0,False
2024-01-20 08:30:00+00:00,N/A,41550.0,58.29642868041992,-1,0,0.5,17.984375,10096.576796875002,0.0,False
2024-01-20 08:45:00+00:00,N/A,41590.0,58.39142990112305,-1,0,0.5,-20.0,10076.576796875002,0.0019808693978527665,False
2024-01-20 09:00:00+00:00,N/A,41549.671875,61.61428451538086,-1,0,0.5,20.1640625,10096.740859375002,0.0,False
2024-01-20 09:15:00+00:00,N/A,41516.19140625,62.93071365356445,-1,0,0.5,16.740234375,10113.481093750002,0.0,False
2024-01-20 09:30:00+00:00,N/A,41547.96875,66.64785766601562,-1,0,0.5,-15.888671875,10097.592421875002,0.0015710388666093408,False
2024-01-20 09:45:00+00:00,N/A,41521.1015625,70.68142700195312,-1,0,0.5,13.43359375,10111.026015625002,0.0002427530246254384,False
2024-01-20 10:00:00+00:00,N/A,41515.98828125,69.77357482910156,-1,0,0.5,2.556640625,10113.582656250002,0.0,False
2024-01-20 10:15:00+00:00,N/A,41584.0,73.58714294433594,-1,0,0.5,-34.005859375,10079.576796875002,0.0033623949623811126,False
2024-01-20 10:30:00+00:00,N/A,41549.01171875,73.37071228027344,-1,0,0.5,17.494140625,10097.070937500002,0.0016326280519194719,False
2024-01-20 10:45:00+00:00,N/A,41543.30859375,73.64857482910156,1,1,0.5,-17.731562500000003,10079.339375000003,0.0033858705083937295,True
2024-01-20 11:00:00+00:00,N/A,41527.37109375,72.8499984741211,1,0,0.5,-7.96875,10071.370625000003,0.004173796040902772,False
2024-01-20 11:15:00+00:00,N/A,41543.2109375,70.53214263916016,1,0,0.5,7.919921875,10079.290546875003,0.003390698483470378,False
2024-01-20 11:30:00+00:00,N/A,41548.30078125,67.05357360839844,1,0,0.5,2.544921875,10081.835468750003,0.0031390644224754557,False
2024-01-20 11:45:00+00:00,N/A,41580.828125,68.54571533203125,1,0,0.5,16.263671875,10098.099140625003,0.0015309624839453585,False
2024-01-20 12:00:00+00:00,N/A,41591.48828125,66.0921401977539,1,0,0.5,5.330078125,10103.429218750003,0.0010039407245784032,False
