timestamp,price,atr,position,action,lots,pnl_usd,balance_usd,drawdown_pct,flipped
2024-01-29 13:00:00+00:00,38092.21875,29.299999237060547,1,0,0.5,5.25,10005.25,0.0,False
2024-01-29 14:00:00+00:00,38084.21875,30.25,1,0,0.5,-4.0,10001.25,0.0003997901101921491,False
2024-01-29 15:00:00+00:00,38090.21875,26.035715103149414,1,0,0.5,3.0,10004.25,9.994752754803727e-05,False
2024-01-29 16:00:00+00:00,38146.62109375,31.77857208251953,1,0,0.5,28.201171875,10032.451171875,0.0,False
2024-01-29 17:00:00+00:00,38081.28125,37.119285583496094,-1,1,0.5,29.919921875,10062.37109375,0.0,True
2024-01-29 18:00:00+00:00,38114.91015625,39.746429443359375,1,1,0.5,14.064453125,10076.435546875,0.0,True
2024-01-29 19:00:00+00:00,38086.28125,43.282142639160156,1,0,0.5,-14.314453125,10062.12109375,0.0014205869782434458,False
2024-01-29 20:00:00+00:00,38107.23828125,47.32500076293945,1,0,0.5,10.478515625,10072.599609375,0.000380683971247118,False
2024-01-29 21:00:00+00:00,38156.01953125,51.65928649902344,1,0,0.5,24.390625,10096.990234375,0.0,False
2024-01-29 22:00:00+00:00,38335.12109375,64.3357162475586,1,0,0.5,89.55078125,10186.541015625,0.0,False
2024-01-29 23:00:00+00:00,38282.109375,65.1578598022461,1,0,0.5,-26.505859375,10160.03515625,0.0026020470868710994,False
2024-01-30 01:00:00+00:00,38287.62890625,64.82499694824219,1,0,0.5,2.759765625,10162.794921875,0.0023311243447187995,False
2024-01-30 02:00:00+00:00,38294.359375,63.66999816894531,1,0,0.5,3.365234375,10166.16015625,0.0020007634921155345,False
2024-01-30 03:00:00+00:00,38299.1015625,61.73285675048828,1,0,0.5,2.37109375,10168.53125,0.0017679961821559507,False
2024-01-30 04:00:00+00:00,38300.390625,61.10071563720703,-1,1,0.5,-3.39453125,10165.13671875,0.0021012330723616814,True
2024-01-30 05:00:00+00:00,38287.26953125,60.07143020629883,-1,0,0.5,6.560546875,10171.697265625,0.0014571923852494551,False
2024-01-30 06:00:00+00:00,38281.6015625,59.44928741455078,-1,0,0.5,2.833984375,10174.53125,0.0011789836811709079,False
2024-01-30 07:00:00+00:00,38288.80859375,54.452144622802734,-1,0,0.5,-3.603515625,10170.927734375,0.0015327363062742293,False
2024-01-30 08:00:00+00:00,38278.921875,48.35928726196289,1,1,0.5,-7.693359375,10163.234375,0.0022879837806818086,True
2024-01-30 09:00:00+00:00,38279.21875,46.625,-1,1,0.5,-2.8984375,10160.3359375,0.002572519767485781,True
2024-01-30 10:00:00+00:00,38288.71875,44.30356979370117,1,1,0.5,2.0,10162.3359375,0.002376182267157434,True
2024-01-30 11:00:00+00:00,38285.21875,41.474998474121094,-1,1,0.5,-1.0,10161.3359375,0.0024743510173216073,True
2024-01-30 12:00:00+00:00,38283.21875,37.49785614013672,1,1,0.5,-3.75,10157.5859375,0.002842483830437259,True
2024-01-30 13:00:00+00:00,38282.21875,25.428571701049805,-1,1,0.5,-2.25,10155.3359375,0.0030633635183066506,True
2024-01-30 14:00:00+00:00,38273.71875,24.070714950561523,1,1,0.5,-7.0,10148.3359375,0.0037505447694558673,True
2024-01-30 15:00:00+00:00,38250.21875,25.046428680419922,-1,1,0.5,9.0,10157.3359375,0.002867026017978303,True
2024-01-30 16:00:00+00:00,38332.30078125,29.174999237060547,1,1,0.5,38.291015625,10195.626953125,0.0,True
2024-01-30 17:00:00+00:00,38295.3515625,33.25285720825195,1,0,0.5,-18.474609375,10177.15234375,0.0018120130777575633,False
2024-01-30 18:00:00+00:00,38388.6796875,40.31785583496094,1,0,0.5,46.6640625,10223.81640625,0.0,False
2024-01-30 19:00:00+00:00,38379.33984375,42.907142639160156,1,0,0.5,-4.669921875,10219.146484375,0.00045676894903406073,False
2024-01-30 20:00:00+00:00,38422.4609375,46.4764289855957,1,0,0.5,21.560546875,10240.70703125,0.0,False
2024-01-30 21:00:00+00:00,38470.26171875,49.855712890625,1,0,0.5,23.900390625,10264.607421875,0.0,False
2024-01-30 22:00:00+00:00,38455.6484375,51.86428451538086,1,0,0.5,-7.306640625,10257.30078125,0.0007118285507372402,False
2024-01-30 23:00:00+00:00,38454.26953125,54.75785827636719,1,0,0.5,-0.689453125,10256.611328125,0.0007789965481738201,False
2024-01-31 01:00:00+00:00,38455.8203125,57.64285659790039,1,0,0.5,0.775390625,10257.38671875,0.0007034563357593094,False
2024-01-31 02:00:00+00:00,38481.8984375,58.248573303222656,1,0,0.5,13.0390625,10270.42578125,0.0,False
2024-01-31 03:00:00+00:00,38475.73046875,58.03643035888672,1,0,0.5,-3.083984375,10267.341796875,0.0003002781423755785,False
2024-01-31 04:00:00+00:00,38475.01953125,57.55571365356445,1,0,0.5,-0.35546875,10266.986328125,0.0003348890492231753,False
2024-01-31 05:00:00+00:00,38477.78125,55.84642791748047,-1,1,0.5,-4.130859375,10262.85546875,0.0007370982139631048,True
2024-01-31 06:00:00+00:00,38487.48046875,53.92928695678711,-1,0,0.5,-4.849609375,10258.005859375,0.0012092898716696036,False
2024-01-31 07:00:00+00:00,38467.16015625,49.59000015258789,-1,0,0.5,10.16015625,10268.166015625,0.00022002647924543659,False
2024-01-31 08:00:00+00:00,38452.421875,46.09071350097656,-1,0,0.5,7.369140625,10275.53515625,0.0,False
2024-01-31 09:00:00+00:00,38498.21875,42.26499938964844,1,1,0.5,20.1484375,10295.68359375,0.0,True
2024-01-31 10:00:00+00:00,38512.21875,42.20500183105469,1,0,0.5,7.0,10302.68359375,0.0,False
2024-01-31 11:00:00+00:00,38494.71875,39.68642807006836,1,0,0.5,-8.75,10293.93359375,0.0008492932856161945,False
2024-01-31 12:00:00+00:00,38516.71875,36.95428466796875,1,0,0.5,11.0,10304.93359375,0.0,False
2024-01-31 13:00:00+00:00,38522.71875,35.59071350097656,1,0,0.5,3.0,10307.93359375,0.0,False
2024-01-31 14:00:00+00:00,38519.21875,34.62571334838867,1,0,0.5,-1.75,10306.18359375,0.00016977214531737727,False
2024-01-31 15:00:00+00:00,38511.71875,34.52642822265625,-1,1,0.5,1.0,10307.18359375,7.275949085030455e-05,True
2024-01-31 16:00:00+00:00,38490.62109375,40.74214172363281,1,1,0.5,-13.298828125,10293.884765625,0.0013629141085579183,True
2024-01-31 17:00:00+00:00,38488.19140625,44.4471435546875,1,0,0.5,-1.21484375,10292.669921875,0.001480769325508151,False
2024-01-31 18:00:00+00:00,38470.0703125,51.63142776489258,1,0,0.5,-9.060546875,10283.609375,0.002359757028775242,False
2024-01-31 19:00:00+00:00,38509.33984375,56.19499969482422,1,0,0.5,19.634765625,10303.244140625,0.00045493629565515945,False
2024-01-31 20:00:00+00:00,38471.5390625,60.308570861816406,-1,1,0.5,16.150390625,10319.39453125,0.0,True
2024-01-31 21:00:00+00:00,38401.33984375,71.82071685791016,-1,0,0.5,35.099609375,10354.494140625,0.0,False
2024-01-31 22:00:00+00:00,38144.33984375,88.7107162475586,-1,0,0.5,128.5,10482.994140625,0.0,False
2024-01-31 23:00:00+00:00,38162.28125,89.2835693359375,1,1,0.5,6.220703125,10489.21484375,0.0,True
2024-02-01 01:00:00+00:00,38187.2109375,88.56928253173828,1,0,0.5,12.46484375,10501.6796875,0.0,False
2024-02-01 02:00:00+00:00,38198.7109375,89.17642974853516,-1,1,0.5,-8.5,10493.1796875,0.0008093943305200433,True
2024-02-01 03:00:00+00:00,38203.7109375,88.67642974853516,-1,0,0.5,-2.5,10490.6796875,0.00104745148655535,False
2024-02-01 04:00:00+00:00,38221.7109375,88.89071655273438,-1,0,0.5,-9.0,10481.6796875,0.0019044572482824547,False
2024-02-01 05:00:00+00:00,38216.2109375,86.3550033569336,1,1,0.5,-5.5,10476.1796875,0.00242818299156013,True
2024-02-01 06:00:00+00:00,38220.2109375,82.49785614013672,-1,1,0.5,-4.75,10471.4296875,0.002880491588027213,True
2024-02-01 07:00:00+00:00,38198.2109375,75.5335693359375,1,1,0.5,-13.75,10457.6796875,0.0041898059462214,True
2024-02-01 08:00:00+00:00,38170.2109375,73.21928405761719,-1,1,0.5,11.25,10468.9296875,0.0031185487440625196,True
2024-02-01 09:00:00+00:00,38199.01171875,68.08714294433594,1,1,0.5,11.650390625,10480.580078125,0.0020091652005073592,True
2024-02-01 10:00:00+00:00,38204.01171875,65.76856994628906,1,0,0.5,2.5,10483.080078125,0.0017711080444720525,False
2024-02-01 11:00:00+00:00,38210.01171875,62.8221435546875,-1,1,0.5,-5.75,10477.330078125,0.0023186395033532583,True
2024-02-01 12:00:00+00:00,38218.51171875,51.03285598754883,1,1,0.5,1.5,10478.830078125,0.002175805209732074,True
2024-02-01 13:00:00+00:00,38201.51171875,35.85857009887695,1,0,0.5,-8.5,10470.330078125,0.0029851995402521174,False
2024-02-01 14:00:00+00:00,38237.51171875,34.71428680419922,1,0,0.5,18.0,10488.330078125,0.001271188016797908,False
2024-02-01 15:00:00+00:00,38173.01171875,39.46428680419922,1,0,0.5,-32.25,10456.080078125,0.004342125329653367,False
2024-02-01 16:00:00+00:00,38186.41015625,45.9571418762207,1,0,0.5,6.69921875,10462.779296875,0.003704206544340005,False
2024-02-01 17:00:00+00:00,38135.83984375,55.9571418762207,1,0,0.5,-25.28515625,10437.494140625,0.006111931499053351,False
2024-02-01 18:00:00+00:00,38261.98828125,65.27714538574219,1,0,0.5,63.07421875,10500.568359375,0.00010582384514382,False
2024-02-01 19:00:00+00:00,38425.578125,79.72071075439453,1,0,0.5,81.794921875,10582.36328125,0.0,False
2024-02-01 20:00:00+00:00,38402.23828125,85.08428192138672,-1,1,0.5,8.919921875,10591.283203125,0.0,True
2024-02-01 21:00:00+00:00,38466.328125,90.80785369873047,-1,0,0.5,-32.044921875,10559.23828125,0.0030255939021199075,False
2024-02-01 22:00:00+00:00,38513.73046875,93.22571563720703,-1,0,0.5,-23.701171875,10535.537109375,0.005263393743786578,False
2024-02-01 23:00:00+00:00,38508.80859375,97.08214569091797,-1,0,0.5,2.4609375,10537.998046875,0.005031038754046158,False
2024-02-02 01:00:00+00:00,38522.75,98.87142944335938,-1,0,0.5,-6.970703125,10531.02734375,0.0056891934829220005,False
2024-02-02 02:00:00+00:00,38521.08984375,98.72785949707031,-1,0,0.5,0.830078125,10531.857421875,0.005610819776065113,False
2024-02-02 03:00:00+00:00,38539.71875,98.59071350097656,-1,0,0.5,-9.314453125,10522.54296875,0.0064902649713604035,False
2024-02-02 04:00:00+00:00,38542.44921875,96.26786041259766,-1,0,0.5,-1.365234375,10521.177734375,0.006619166668049732,False
2024-02-02 05:00:00+00:00,38531.30078125,94.2828598022461,-1,0,0.5,5.57421875,10526.751953125,0.006092864175415477,False
2024-02-02 06:00:00+00:00,38519.140625,87.59285736083984,-1,0,0.5,6.080078125,10532.83203125,0.0055187998237790255,False
2024-02-02 07:00:00+00:00,38518.5703125,79.52857208251953,-1,0,0.5,0.28515625,10533.1171875,0.005491876150364659,False
2024-02-02 08:00:00+00:00,38526.5,69.9221420288086,-1,0,0.5,-3.96484375,10529.15234375,0.005866225856057559,False
2024-02-02 09:00:00+00:00,38503.30078125,60.06285858154297,-1,0,0.5,11.599609375,10540.751953125,0.004771022456003306,False
