entry_time,exit_time,pnl_usd,position,n_bars,won,session,dow,hour
2022-02-10 04:00:00+00:00,2022-02-10 05:00:00+00:00,12.249946594238281,1,5,True,Asia    (00-07),Thursday,4
2022-02-10 05:15:00+00:00,2022-02-10 05:15:00+00:00,-6.500194549560547,-1,1,False,Asia    (00-07),Thursday,5
2022-02-10 05:30:00+00:00,2022-02-10 05:30:00+00:00,-0.500152587890625,1,1,False,Asia    (00-07),Thursday,5
2022-02-10 05:45:00+00:00,2022-02-10 07:45:00+00:00,-1.7499427795410156,-1,9,False,Asia    (00-07),Thursday,5
2022-02-10 08:00:00+00:00,2022-02-10 10:00:00+00:00,20.500232696533203,1,9,True,London  (07-12),Thursday,8
2022-02-10 10:15:00+00:00,2022-02-10 10:30:00+00:00,18.250038146972656,-1,2,True,London  (07-12),Thursday,10
2022-02-10 10:45:00+00:00,2022-02-10 10:45:00+00:00,6.7496795654296875,1,1,True,London  (07-12),Thursday,10
2022-02-10 11:00:00+00:00,2022-02-10 11:30:00+00:00,-5.750129699707031,-1,3,False,London  (07-12),Thursday,11
2022-02-10 11:45:00+00:00,2022-02-10 12:30:00+00:00,5.7502288818359375,1,4,True,London  (07-12),Thursday,11
2022-02-10 12:45:00+00:00,2022-02-10 12:45:00+00:00,-3.9996604919433594,-1,1,False,Overlap (12-16),Thursday,12
2022-02-10 13:00:00+00:00,2022-02-10 13:00:00+00:00,-4.25,1,1,False,Overlap (12-16),Thursday,13
2022-02-10 13:15:00+00:00,2022-02-10 13:45:00+00:00,-2.750347137451172,-1,3,False,Overlap (12-16),Thursday,13
2022-02-10 14:00:00+00:00,2022-02-10 14:00:00+00:00,0.4997749328613281,1,1,True,Overlap (12-16),Thursday,14
2022-02-10 14:15:00+00:00,2022-02-10 14:15:00+00:00,1.7500419616699219,-1,1,True,Overlap (12-16),Thursday,14
2022-02-10 14:30:00+00:00,2022-02-10 15:45:00+00:00,-0.24981307983398438,1,6,False,Overlap (12-16),Thursday,14
2022-02-10 16:00:00+00:00,2022-02-10 16:00:00+00:00,-1.5000801086425781,-1,1,False,NY      (16-22),Thursday,16
2022-02-10 16:15:00+00:00,2022-02-10 19:00:00+00:00,73.74959182739258,1,12,True,NY      (16-22),Thursday,16
2022-02-10 19:15:00+00:00,2022-02-10 19:45:00+00:00,37.99967956542969,-1,3,True,NY      (16-22),Thursday,19
2022-02-10 20:00:00+00:00,2022-02-10 20:00:00+00:00,0.7501144409179688,1,1,True,NY      (16-22),Thursday,20
2022-02-10 20:15:00+00:00,2022-02-10 23:30:00+00:00,76.4999885559082,-1,14,True,NY      (16-22),Thursday,20
2022-02-10 23:45:00+00:00,2022-02-11 02:45:00+00:00,-12.500236511230469,1,9,False,Off     (22-00),Thursday,23
2022-02-11 03:00:00+00:00,2022-02-11 04:30:00+00:00,4.749824523925781,-1,7,True,Asia    (00-07),Friday,3
2022-02-11 04:45:00+00:00,2022-02-11 05:00:00+00:00,-5.750129699707031,1,2,False,Asia    (00-07),Friday,4
2022-02-11 05:15:00+00:00,2022-02-11 07:00:00+00:00,15.250255584716797,-1,8,True,Asia    (00-07),Friday,5
2022-02-11 07:15:00+00:00,2022-02-11 08:00:00+00:00,-17.99959945678711,1,4,False,London  (07-12),Friday,7
2022-02-11 08:15:00+00:00,2022-02-11 13:30:00+00:00,4.000236511230469,-1,22,True,London  (07-12),Friday,8
2022-02-11 13:45:00+00:00,2022-02-11 14:00:00+00:00,3.749897003173828,1,2,True,Overlap (12-16),Friday,13
2022-02-11 14:15:00+00:00,2022-02-11 14:45:00+00:00,5.749752044677734,-1,3,True,Overlap (12-16),Friday,14
2022-02-11 15:00:00+00:00,2022-02-11 16:45:00+00:00,41.50014114379883,1,8,True,Overlap (12-16),Friday,15
2022-02-11 17:00:00+00:00,2022-02-11 17:00:00+00:00,-26.499698638916016,-1,1,False,NY      (16-22),Friday,17
2022-02-11 17:15:00+00:00,2022-02-11 18:45:00+00:00,11.250068664550781,1,7,True,NY      (16-22),Friday,17
2022-02-11 19:00:00+00:00,2022-02-11 19:45:00+00:00,-18.24993896484375,-1,4,False,NY      (16-22),Friday,19
2022-02-11 20:00:00+00:00,2022-02-11 20:45:00+00:00,40.249874114990234,1,4,True,NY      (16-22),Friday,20
2022-02-11 21:00:00+00:00,2022-02-11 21:00:00+00:00,10.749866485595703,-1,1,True,NY      (16-22),Friday,21
2022-02-11 21:15:00+00:00,2022-02-11 21:45:00+00:00,30.000259399414062,1,3,True,NY      (16-22),Friday,21
2022-02-11 22:00:00+00:00,2022-02-11 22:45:00+00:00,-6.749580383300781,-1,4,False,Off     (22-00),Friday,22
2022-02-11 23:00:00+00:00,2022-02-11 23:15:00+00:00,10.00027847290039,1,2,True,Off     (22-00),Friday,23
2022-02-11 23:30:00+00:00,2022-02-14 02:00:00+00:00,4.9591064453125e-05,-1,7,True,Off     (22-00),Friday,23
2022-02-14 02:15:00+00:00,2022-02-14 04:15:00+00:00,11.000205993652344,1,9,True,Asia    (00-07),Monday,2
2022-02-14 04:30:00+00:00,2022-02-14 08:30:00+00:00,21.500160217285156,-1,17,True,Asia    (00-07),Monday,4
2022-02-14 08:45:00+00:00,2022-02-14 10:30:00+00:00,18.00017547607422,1,8,True,London  (07-12),Monday,8
2022-02-14 10:45:00+00:00,2022-02-14 12:45:00+00:00,2.0003814697265625,-1,9,True,London  (07-12),Monday,10
2022-02-14 13:00:00+00:00,2022-02-14 16:00:00+00:00,50.000240325927734,1,13,True,Overlap (12-16),Monday,13
2022-02-14 16:15:00+00:00,2022-02-14 16:30:00+00:00,7.750083923339844,-1,2,True,NY      (16-22),Monday,16
2022-02-14 16:45:00+00:00,2022-02-14 17:00:00+00:00,13.249923706054688,1,2,True,NY      (16-22),Monday,16
2022-02-14 17:15:00+00:00,2022-02-14 19:15:00+00:00,29.99978256225586,-1,9,True,NY      (16-22),Monday,17
2022-02-14 19:30:00+00:00,2022-02-14 22:30:00+00:00,24.250080108642578,1,13,True,NY      (16-22),Monday,19
2022-02-14 22:45:00+00:00,2022-02-15 01:30:00+00:00,-1.499603271484375,-1,8,False,Off     (22-00),Monday,22
2022-02-15 01:45:00+00:00,2022-02-15 02:30:00+00:00,-0.24981307983398438,1,4,False,Asia    (00-07),Tuesday,1
2022-02-15 02:45:00+00:00,2022-02-15 03:00:00+00:00,4.499961853027344,-1,2,True,Asia    (00-07),Tuesday,2
2022-02-15 03:15:00+00:00,2022-02-15 04:45:00+00:00,23.250152587890625,1,7,True,Asia    (00-07),Tuesday,3
2022-02-15 05:00:00+00:00,2022-02-15 06:30:00+00:00,10.00027847290039,-1,7,True,Asia    (00-07),Tuesday,5
2022-02-15 06:45:00+00:00,2022-02-15 07:15:00+00:00,1.7500419616699219,1,3,True,Asia    (00-07),Tuesday,6
2022-02-15 07:30:00+00:00,2022-02-15 07:45:00+00:00,27.0,-1,2,True,London  (07-12),Tuesday,7
2022-02-15 08:00:00+00:00,2022-02-15 09:00:00+00:00,-5.750129699707031,1,5,False,London  (07-12),Tuesday,8
2022-02-15 09:15:00+00:00,2022-02-15 18:15:00+00:00,138.2499237060547,-1,37,True,London  (07-12),Tuesday,9
2022-02-15 18:30:00+00:00,2022-02-15 18:45:00+00:00,18.00017547607422,1,2,True,NY      (16-22),Tuesday,18
2022-02-15 19:00:00+00:00,2022-02-15 19:00:00+00:00,4.499961853027344,-1,1,True,NY      (16-22),Tuesday,19
2022-02-15 19:15:00+00:00,2022-02-15 19:15:00+00:00,-0.500152587890625,1,1,False,NY      (16-22),Tuesday,19
2022-02-15 19:30:00+00:00,2022-02-15 20:30:00+00:00,-25.99997329711914,-1,5,False,NY      (16-22),Tuesday,19
2022-02-15 20:45:00+00:00,2022-02-15 22:00:00+00:00,6.000091552734375,1,6,True,NY      (16-22),Tuesday,20
