timestamp,regime,price,atr,position,action,lots,pnl_usd,balance_usd,drawdown_pct,flipped
2022-02-10 04:00:00+00:00,N/A,23.204999923706055,0.02500000037252903,1,0,0.5,5.249977111816406,10005.249977111816,0.0,False
2022-02-10 04:15:00+00:00,N/A,23.19499969482422,0.02557142823934555,1,0,0.5,-2.5000572204589844,10002.749919891357,0.0002498745384851112,False
2022-02-10 04:30:00+00:00,N/A,23.229000091552734,0.025928571820259094,1,0,0.5,8.500099182128906,10011.250019073486,0.0,False
2022-02-10 04:45:00+00:00,N/A,23.22800064086914,0.025857143104076385,1,0,0.5,-0.2498626708984375,10011.000156402588,2.4958189079525315e-05,False
2022-02-10 05:00:00+00:00,N/A,23.232999801635742,0.026928571984171867,1,0,0.5,1.2497901916503906,10012.249946594238,0.0,False
2022-02-10 05:15:00+00:00,N/A,23.242000579833984,0.02735714241862297,-1,1,0.5,-6.500194549560547,10005.749752044678,0.0006492241588287206,True
2022-02-10 05:30:00+00:00,N/A,23.256999969482422,0.026642857119441032,1,1,0.5,-0.500152587890625,10005.249599456787,0.0006991782241545424,True
2022-02-10 05:45:00+00:00,N/A,23.257999420166016,0.026000000536441803,-1,1,0.5,-4.4998626708984375,10000.749736785889,0.0011486139348989698,True
2022-02-10 06:00:00+00:00,N/A,23.263999938964844,0.02435714192688465,-1,0,0.5,-1.5001296997070312,9999.249607086182,0.0012984433646184422,False
2022-02-10 06:15:00+00:00,N/A,23.257999420166016,0.023499999195337296,-1,0,0.5,1.5001296997070312,10000.749736785889,0.0011486139348989698,False
2022-02-10 06:30:00+00:00,N/A,23.27199935913086,0.021785713732242584,-1,0,0.5,-3.4999847412109375,9997.249752044678,0.001498184187327745,False
2022-02-10 06:45:00+00:00,N/A,23.268999099731445,0.02092857100069523,-1,0,0.5,0.7500648498535156,9997.999816894531,0.0014232694724680087,False
2022-02-10 07:00:00+00:00,N/A,23.268999099731445,0.018714286386966705,-1,0,0.5,-0.0,9997.999816894531,0.0014232694724680087,False
2022-02-10 07:15:00+00:00,N/A,23.267000198364258,0.01792857050895691,-1,0,0.5,0.499725341796875,9998.499542236328,0.0013733580794781782,False
2022-02-10 07:30:00+00:00,N/A,23.26799964904785,0.018642857670783997,-1,0,0.5,-0.2498626708984375,9998.24967956543,0.0013983137759730935,False
2022-02-10 07:45:00+00:00,N/A,23.246999740600586,0.02021428570151329,-1,0,0.5,5.249977111816406,10003.499656677246,0.000873958397329931,False
2022-02-10 08:00:00+00:00,N/A,23.257999420166016,0.01971428655087948,1,1,0.5,-1.5000801086425781,10001.999576568604,0.0010237828740104042,True
2022-02-10 08:15:00+00:00,N/A,23.2549991607666,0.020714284852147102,1,0,0.5,-0.7500648498535156,10001.24951171875,0.0010986975888701404,False
2022-02-10 08:30:00+00:00,N/A,23.281999588012695,0.021642856299877167,1,0,0.5,6.7501068115234375,10007.999618530273,0.0004245127805075055,False
2022-02-10 08:45:00+00:00,N/A,23.302000045776367,0.023357143625617027,1,0,0.5,5.000114440917969,10012.999732971191,0.0,False
2022-02-10 09:00:00+00:00,N/A,23.316999435424805,0.024214286357164383,1,0,0.5,3.749847412109375,10016.7495803833,0.0,False
2022-02-10 09:15:00+00:00,N/A,23.354999542236328,0.02807142771780491,1,0,0.5,9.50002670288086,10026.249607086182,0.0,False
2022-02-10 09:30:00+00:00,N/A,23.356000900268555,0.030214285477995872,1,0,0.5,0.2503395080566406,10026.499946594238,0.0,False
2022-02-10 09:45:00+00:00,N/A,23.339000701904297,0.03207143023610115,1,0,0.5,-4.250049591064453,10022.249897003174,0.0004238816749316488,False
2022-02-10 10:00:00+00:00,N/A,23.34600067138672,0.03400000184774399,1,0,0.5,1.7499923706054688,10023.99988937378,0.0002493449592355699,False
2022-02-10 10:15:00+00:00,N/A,23.322999954223633,0.03635714203119278,-1,1,0.5,1.5001792907714844,10025.50006866455,9.972352615701499e-05,True
2022-02-10 10:30:00+00:00,N/A,23.256000518798828,0.04064285755157471,-1,0,0.5,16.749858856201172,10042.249927520752,0.0,False
2022-02-10 10:45:00+00:00,N/A,23.299999237060547,0.043857142329216,1,1,0.5,6.7496795654296875,10048.999607086182,0.0,True
2022-02-10 11:00:00+00:00,N/A,23.299999237060547,0.04335714131593704,-1,1,0.5,-4.25,10044.749607086182,0.0004229276710293687,True
2022-02-10 11:15:00+00:00,N/A,23.298999786376953,0.04285714402794838,-1,0,0.5,0.2498626708984375,10044.99946975708,0.0003980632386810737,False
2022-02-10 11:30:00+00:00,N/A,23.305999755859375,0.042571429163217545,-1,0,0.5,-1.7499923706054688,10043.249477386475,0.0005722091675326819,False
